epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,642.543,1.39206,1.05589,1.25365,0.8808,0.59909,0.69962,0.43278,1.37924,0.99268,1.28607,0.000666268,0.000666268,0.000666268
2,1204.64,1.37541,0.98961,1.25283,0.86254,0.69347,0.77709,0.48072,1.34937,0.87004,1.2626,0.00128895,0.00128895,0.00128895
3,1759.51,1.33149,0.92986,1.23042,0.87329,0.7321,0.81794,0.51336,1.29258,0.76297,1.20388,0.00186763,0.00186763,0.00186763
4,2313.1,1.29953,0.86723,1.20583,0.87196,0.74853,0.82092,0.52531,1.26097,0.71833,1.18416,0.001802,0.001802,0.001802
5,2865.96,1.26611,0.81498,1.18128,0.88106,0.76745,0.8424,0.53985,1.24177,0.68882,1.17777,0.001736,0.001736,0.001736
6,3421.95,1.2481,0.79132,1.1702,0.87683,0.77415,0.84677,0.54109,1.21566,0.67429,1.16558,0.00167,0.00167,0.00167
7,3974.75,1.22679,0.75386,1.15524,0.88122,0.78551,0.85741,0.56034,1.20111,0.63782,1.14725,0.001604,0.001604,0.001604
8,4524.92,1.21841,0.73539,1.14759,0.87221,0.79173,0.86057,0.56463,1.18596,0.6222,1.13919,0.001538,0.001538,0.001538
9,5076.58,1.20225,0.7258,1.1431,0.88861,0.78544,0.86268,0.56464,1.19016,0.61916,1.14458,0.001472,0.001472,0.001472
10,5631.1,1.19782,0.71148,1.13955,0.88415,0.80144,0.86989,0.57202,1.18045,0.6062,1.13578,0.001406,0.001406,0.001406
11,6183.04,1.17313,0.68607,1.12747,0.88628,0.80212,0.87404,0.57588,1.1718,0.59461,1.13399,0.00134,0.00134,0.00134
12,6738.99,1.1695,0.6774,1.12513,0.8784,0.81823,0.87795,0.57923,1.17396,0.58409,1.13115,0.001274,0.001274,0.001274
13,7291.16,1.16437,0.67389,1.11908,0.88759,0.80423,0.87847,0.5828,1.1585,0.57325,1.11634,0.001208,0.001208,0.001208
14,7845.07,1.15853,0.65799,1.11192,0.8883,0.81154,0.88053,0.58498,1.15376,0.56362,1.12106,0.001142,0.001142,0.001142
15,8398.82,1.15055,0.6478,1.10759,0.8874,0.81345,0.88112,0.58483,1.15646,0.56912,1.12014,0.001076,0.001076,0.001076
16,8951.34,1.14306,0.63226,1.10464,0.88824,0.82076,0.88664,0.58945,1.1527,0.55421,1.11512,0.00101,0.00101,0.00101
