epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8438,1.41936,2.60475,1.27974,0.35174,0.49221,0.33756,0.21163,1.34629,12.8907,1.53148,0.000551937,0.000551937,0.000551937
2,53.4063,1.46169,1.86624,1.3963,0.32412,0.55764,0.33129,0.20644,1.35693,4.19895,1.36725,0.0010939,0.0010939,0.0010939
3,79.4329,1.39286,1.64145,1.32056,0.34573,0.4869,0.28688,0.17006,1.52886,2.21328,1.42035,0.0016221,0.0016221,0.0016221
4,105.232,1.38237,1.57385,1.31082,0.36421,0.66204,0.37838,0.20645,1.58926,1.78126,1.44979,0.00160511,0.00160511,0.00160511
5,131.186,1.35341,1.58001,1.33792,0.39332,0.66973,0.41884,0.27672,1.28744,1.49598,1.29672,0.00158448,0.00158448,0.00158448
6,157.302,1.30088,1.46739,1.26669,0.43124,0.68382,0.4531,0.29864,1.27144,1.43963,1.28871,0.00156385,0.00156385,0.00156385
7,183.447,1.24622,1.40104,1.25128,0.40764,0.60681,0.38191,0.25203,1.36182,1.75243,1.38494,0.00154323,0.00154323,0.00154323
8,209.619,1.20868,1.39195,1.22796,0.39084,0.8124,0.44576,0.29938,1.17262,1.40531,1.20066,0.0015226,0.0015226,0.0015226
9,236.009,1.25385,1.39978,1.25113,0.43199,0.8074,0.47882,0.3385,1.12438,1.31581,1.21428,0.00150197,0.00150197,0.00150197
10,262.452,1.25157,1.36135,1.26718,0.44228,0.78944,0.46282,0.32172,1.15751,1.28294,1.22082,0.00148134,0.00148134,0.00148134
11,288.738,1.13492,1.30512,1.19154,0.43545,0.72026,0.47233,0.33062,1.15365,1.40006,1.20752,0.00146071,0.00146071,0.00146071
12,314.857,1.1584,1.32209,1.20445,0.44362,0.74571,0.46681,0.30412,1.17691,1.38176,1.22348,0.00144008,0.00144008,0.00144008
13,340.799,1.12776,1.32335,1.18354,0.43609,0.78467,0.48312,0.32872,1.09421,1.31144,1.1844,0.00141945,0.00141945,0.00141945
14,366.586,1.16569,1.26412,1.18895,0.42354,0.74369,0.43272,0.28735,1.19887,1.39219,1.24388,0.00139882,0.00139882,0.00139882
15,392.424,1.16486,1.30096,1.19715,0.45879,0.76685,0.47891,0.33391,1.09568,1.25085,1.16648,0.00137819,0.00137819,0.00137819
16,418.24,1.15151,1.26651,1.20393,0.44444,0.81196,0.47776,0.34408,1.06001,1.31648,1.15997,0.00135756,0.00135756,0.00135756
17,444.143,1.12302,1.25855,1.18656,0.43109,0.78955,0.48294,0.35439,1.04709,1.25449,1.14657,0.00133693,0.00133693,0.00133693
18,469.927,1.12559,1.23149,1.19329,0.45779,0.76142,0.48929,0.35174,1.04454,1.20127,1.17176,0.0013163,0.0013163,0.0013163
19,495.628,1.105,1.25075,1.19243,0.46565,0.75328,0.48818,0.34836,1.07386,1.25262,1.18667,0.00129568,0.00129568,0.00129568
20,521.335,1.08918,1.22794,1.16829,0.43334,0.78866,0.48116,0.33467,1.09043,1.3102,1.20179,0.00127505,0.00127505,0.00127505
21,547.035,1.1077,1.19992,1.16965,0.41857,0.81915,0.45015,0.31825,1.09744,1.27186,1.18575,0.00125442,0.00125442,0.00125442
22,572.688,1.07642,1.20508,1.16198,0.45137,0.73917,0.44952,0.32865,1.07,1.32315,1.17406,0.00123379,0.00123379,0.00123379
23,598.372,1.0997,1.20921,1.16141,0.44843,0.82363,0.48357,0.34342,1.04376,1.21039,1.14199,0.00121316,0.00121316,0.00121316
24,624.148,1.09678,1.20309,1.1597,0.43051,0.8573,0.48975,0.34754,1.08907,1.23811,1.16049,0.00119253,0.00119253,0.00119253
25,649.979,1.01232,1.16915,1.12582,0.44428,0.79542,0.46696,0.33408,1.06658,1.28146,1.16122,0.0011719,0.0011719,0.0011719
26,675.852,1.0545,1.19466,1.14912,0.44359,0.8149,0.48293,0.34146,1.11673,1.2589,1.18411,0.00115127,0.00115127,0.00115127
27,701.537,1.00754,1.16102,1.12823,0.45166,0.81889,0.47806,0.3486,1.00741,1.17232,1.11479,0.00113064,0.00113064,0.00113064
