epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6435,1.57506,4.06046,1.43842,0.00303,0.51852,0.00247,0.00112,1.76774,36.1667,1.52768,0.000541419,0.000541419,0.000541419
2,31.2613,1.57599,2.78161,1.3841,0.00045,0.09877,0.00024,5e-05,4.62793,inf,298.556,0.00108351,0.00108351,0.00108351
3,40.7702,1.51412,2.31492,1.38522,6e-05,0.01235,3e-05,0,4.21734,inf,13.2322,0.00161185,0.00161185,0.00161185
4,50.2981,1.61796,2.04861,1.42223,0.00058,0.11111,0.00032,0.00019,1.94621,inf,2.17787,0.00160511,0.00160511,0.00160511
5,59.8697,1.49491,1.70038,1.35903,0.82248,0.07407,0.12141,0.07217,1.81419,3.68926,1.86799,0.00158448,0.00158448,0.00158448
6,69.6147,1.48822,1.61902,1.35695,0.00495,0.46914,0.00503,0.00189,3.12234,4.87904,3.40144,0.00156385,0.00156385,0.00156385
7,79.1423,1.32653,1.53336,1.24446,0.22416,0.39506,0.18687,0.11162,1.3214,2.96166,1.31172,0.00154323,0.00154323,0.00154323
8,88.8401,1.31267,1.45986,1.22848,0.63814,0.7037,0.71638,0.45797,1.2641,1.86697,1.26298,0.0015226,0.0015226,0.0015226
9,98.5313,1.41329,1.48473,1.27927,0.65214,0.75309,0.75849,0.47463,1.39652,2.00045,1.43619,0.00150197,0.00150197,0.00150197
10,108.078,1.31709,1.45645,1.25397,0.83688,0.53086,0.6513,0.43768,1.37019,2.27174,1.26708,0.00148134,0.00148134,0.00148134
11,117.454,1.24182,1.31488,1.21074,0.58539,0.58025,0.52013,0.32789,1.18862,2.09911,1.23995,0.00146071,0.00146071,0.00146071
12,126.808,1.24099,1.31049,1.21312,0.68614,0.70176,0.72761,0.48102,1.19659,1.95505,1.19438,0.00144008,0.00144008,0.00144008
13,136.353,1.1958,1.33124,1.19501,0.66045,0.74443,0.78377,0.54476,1.07869,1.55611,1.13187,0.00141945,0.00141945,0.00141945
14,145.893,1.1496,1.30326,1.15454,0.72949,0.82716,0.84052,0.48718,1.34834,1.2983,1.26573,0.00139882,0.00139882,0.00139882
15,155.265,1.1652,1.19719,1.14779,0.70316,0.76038,0.81762,0.47722,1.25043,1.83395,1.22934,0.00137819,0.00137819,0.00137819
16,164.614,1.17822,1.21482,1.17141,0.76225,0.87084,0.85925,0.52294,1.14976,1.44487,1.16737,0.00135756,0.00135756,0.00135756
17,173.958,1.20553,1.24589,1.18471,0.76838,0.81916,0.82108,0.52663,1.10524,1.22967,1.14489,0.00133693,0.00133693,0.00133693
18,183.288,1.17371,1.19634,1.14294,0.83652,0.8642,0.8841,0.55507,1.0855,1.54979,1.09422,0.0013163,0.0013163,0.0013163
19,192.819,1.14914,1.24919,1.11,0.70883,0.60494,0.67288,0.46323,1.24055,2.28599,1.33012,0.00129568,0.00129568,0.00129568
20,202.145,1.15549,1.19711,1.14545,0.80668,0.82428,0.87181,0.58445,1.13689,1.54265,1.18009,0.00127505,0.00127505,0.00127505
21,211.64,1.0701,1.11166,1.10415,0.75951,0.87654,0.77677,0.52847,1.04017,1.61595,1.09743,0.00125442,0.00125442,0.00125442
22,220.976,1.13408,1.12228,1.13515,0.87176,0.83928,0.8895,0.60988,1.1122,1.6193,1.1683,0.00123379,0.00123379,0.00123379
23,230.487,1.09111,1.16771,1.12307,0.7493,0.77493,0.77576,0.48884,1.18716,1.69494,1.19997,0.00121316,0.00121316,0.00121316
24,239.89,1.07536,1.11224,1.12651,0.71572,0.62167,0.67077,0.44045,1.26796,2.2756,1.28681,0.00119253,0.00119253,0.00119253
25,249.24,1.13004,1.13855,1.15255,0.61328,0.51852,0.56821,0.37129,1.25212,2.48352,1.23314,0.0011719,0.0011719,0.0011719
26,258.581,1.14409,1.14947,1.14427,0.75755,0.79012,0.81277,0.53915,1.13107,1.44826,1.16895,0.00115127,0.00115127,0.00115127
27,268.043,1.03452,1.05293,1.09333,0.56078,0.78813,0.6448,0.40957,1.01584,1.67302,1.10327,0.00113064,0.00113064,0.00113064
28,277.484,1.08626,1.09795,1.0976,0.68171,0.81971,0.77778,0.50827,1.09172,1.3055,1.13665,0.00111001,0.00111001,0.00111001
29,286.981,1.05687,1.06712,1.1134,0.84188,0.78881,0.82817,0.53569,1.11761,1.15852,1.18304,0.00108938,0.00108938,0.00108938
30,296.519,1.0982,1.05147,1.11153,0.81947,0.79012,0.81912,0.57183,1.05796,1.58472,1.1258,0.00106876,0.00106876,0.00106876
31,305.975,1.03613,0.98104,1.07738,0.85352,0.7037,0.82997,0.5647,1.20902,1.71693,1.17338,0.00104813,0.00104813,0.00104813
32,315.404,0.96589,0.98802,1.07426,0.78903,0.83113,0.85055,0.54889,1.12701,1.29205,1.14715,0.0010275,0.0010275,0.0010275
